"Series";"Time";"Value"
"cpu";"2019-12-05T18:42:00-05:00";7.5
"cpu";"2019-12-05T18:42:20-05:00";7.875
"cpu";"2019-12-05T18:42:40-05:00";7.85
"cpu";"2019-12-05T18:43:00-05:00";7.5
"cpu";"2019-12-05T18:43:20-05:00";7.525
"cpu";"2019-12-05T18:43:40-05:00";7.35
"cpu";"2019-12-05T18:44:00-05:00";7.075
"cpu";"2019-12-05T18:44:20-05:00";6.825
"cpu";"2019-12-05T18:44:40-05:00";7.325
"cpu";"2019-12-05T18:45:00-05:00";7.710526315789474
"cpu";"2019-12-05T18:45:20-05:00";7.605263157894736
"cpu";"2019-12-05T18:45:40-05:00";7.184210526315789
"cpu";"2019-12-05T18:46:00-05:00";7.552631578947368
"cpu";"2019-12-05T18:46:20-05:00";7.894736842105264
"cpu";"2019-12-05T18:46:40-05:00";7.789473684210526
"cpu";"2019-12-05T18:47:00-05:00";7.842105263157895
"cpu";"2019-12-05T18:47:20-05:00";7.473684210526316
"cpu";"2019-12-05T18:47:40-05:00";7.184210526315789
"cpu";"2019-12-05T18:48:00-05:00";6.526315789473684
"cpu";"2019-12-05T18:48:20-05:00";6.625
"cpu";"2019-12-05T18:48:40-05:00";7.275
"cpu";"2019-12-05T18:49:00-05:00";7.640789473684211
"cpu";"2019-12-05T18:49:20-05:00";7.447368421052632
"cpu";"2019-12-05T18:49:40-05:00";7.315789473684211
"cpu";"2019-12-05T18:50:00-05:00";7.421052631578948
"cpu";"2019-12-05T18:50:20-05:00";7.447368421052632
"cpu";"2019-12-05T18:50:40-05:00";8.210526315789473
"cpu";"2019-12-05T18:51:00-05:00";8.789473684210526
"cpu";"2019-12-05T18:51:20-05:00";9.526315789473685
"cpu";"2019-12-05T18:51:40-05:00";9.68421052631579
"cpu";"2019-12-05T18:52:00-05:00";9.421052631578949
"cpu";"2019-12-05T18:52:20-05:00";9.844736842105263
"cpu";"2019-12-05T18:52:40-05:00";10.100000000000001
"cpu";"2019-12-05T18:53:00-05:00";10.524999999999999
"cpu";"2019-12-05T18:53:20-05:00";10.6
"cpu";"2019-12-05T18:53:40-05:00";10.8
"cpu";"2019-12-05T18:54:00-05:00";10.375
"cpu";"2019-12-05T18:54:20-05:00";10.775
"cpu";"2019-12-05T18:54:40-05:00";10.25
"cpu";"2019-12-05T18:55:00-05:00";9.65
"cpu";"2019-12-05T18:55:20-05:00";9.2
"cpu";"2019-12-05T18:55:40-05:00";8.575
"cpu";"2019-12-05T18:56:00-05:00";8.399999999999999
"cpu";"2019-12-05T18:56:20-05:00";7.9
"cpu";"2019-12-05T18:56:40-05:00";8.075
"cpu";"2019-12-05T18:57:00-05:00";7.975
"cpu";"2019-12-05T18:57:20-05:00";7.975
"cpu";"2019-12-05T18:57:40-05:00";7.575
"cpu";"2019-12-05T18:58:00-05:00";7.9
"cpu";"2019-12-05T18:58:20-05:00";8.525
"cpu";"2019-12-05T18:58:40-05:00";8.825
"cpu";"2019-12-05T18:59:00-05:00";9.024999999999999
"cpu";"2019-12-05T18:59:20-05:00";9.025
"cpu";"2019-12-05T18:59:40-05:00";9.175
"cpu";"2019-12-05T19:00:00-05:00";9.425
"cpu";"2019-12-05T19:00:20-05:00";9.775
"cpu";"2019-12-05T19:00:40-05:00";9.825
"cpu";"2019-12-05T19:01:00-05:00";9.45
"cpu";"2019-12-05T19:01:20-05:00";9.399999999999999
"cpu";"2019-12-05T19:01:40-05:00";9.775
"cpu";"2019-12-05T19:02:00-05:00";10.275
"cpu";"2019-12-05T19:02:20-05:00";10.5
"cpu";"2019-12-05T19:02:40-05:00";10.975
"cpu";"2019-12-05T19:03:00-05:00";11.325
"cpu";"2019-12-05T19:03:20-05:00";10.8
"cpu";"2019-12-05T19:03:40-05:00";10.875
"cpu";"2019-12-05T19:04:00-05:00";11.35
"cpu";"2019-12-05T19:04:20-05:00";11.725
"cpu";"2019-12-05T19:04:40-05:00";11.425
"cpu";"2019-12-05T19:05:00-05:00";11.05
"cpu";"2019-12-05T19:05:20-05:00";10.9
"cpu";"2019-12-05T19:05:40-05:00";11.100000000000001
"cpu";"2019-12-05T19:06:00-05:00";11.075
"cpu";"2019-12-05T19:06:20-05:00";10.65
"cpu";"2019-12-05T19:06:40-05:00";10.725000000000001
"cpu";"2019-12-05T19:07:00-05:00";10.7
"cpu";"2019-12-05T19:07:20-05:00";10.275
"cpu";"2019-12-05T19:07:40-05:00";9.95
"cpu";"2019-12-05T19:08:00-05:00";10.65
"cpu";"2019-12-05T19:08:20-05:00";11.625
"cpu";"2019-12-05T19:08:40-05:00";11.475000000000001
"cpu";"2019-12-05T19:09:00-05:00";11.025
"cpu";"2019-12-05T19:09:20-05:00";10.7
"cpu";"2019-12-05T19:09:40-05:00";11.05
"cpu";"2019-12-05T19:10:00-05:00";10.8
"cpu";"2019-12-05T19:10:20-05:00";10.225000000000001
"cpu";"2019-12-05T19:10:40-05:00";10.325
"cpu";"2019-12-05T19:11:00-05:00";10.375
"cpu";"2019-12-05T19:11:20-05:00";9.8
"cpu";"2019-12-05T19:11:40-05:00";9
"cpu";"2019-12-05T19:12:00-05:00";9.225
"cpu";"2019-12-05T19:12:20-05:00";9.425
