"Time";"192.168.99.100 Available";"192.168.99.100 Free";"192.168.99.100 Total"
"2019-12-08T21:08:00-05:00";null;null;null
"2019-12-08T21:08:30-05:00";2499854336;1193381888;4132012032
"2019-12-08T21:09:00-05:00";2466570240;1152258048;4132012032
"2019-12-08T21:09:30-05:00";2443591680;1120485376;4132012032
"2019-12-08T21:10:00-05:00";2454654976;1130332160;4132012032
"2019-12-08T21:10:30-05:00";1989513216;542916608;4132012032
"2019-12-08T21:11:00-05:00";1781813248;125362176;4132012032
"2019-12-08T21:11:30-05:00";1682198528;40919040;4132012032
"2019-12-08T21:12:00-05:00";1662935040;36958208;4132012032
"2019-12-08T21:12:30-05:00";1660637184;35258368;4132012032
"2019-12-08T21:13:00-05:00";1665081344;32108544;4132012032
"2019-12-08T21:13:30-05:00";1660514304;40235008;4132012032
"2019-12-08T21:14:00-05:00";1606778880;50642944;4132012032
"2019-12-08T21:14:30-05:00";1590431744;47190016;4132012032
"2019-12-08T21:15:00-05:00";1619091456;74665984;4132012032
"2019-12-08T21:15:30-05:00";1569275904;47484928;4132012032
"2019-12-08T21:16:00-05:00";1620860928;97812480;4132012032
"2019-12-08T21:16:30-05:00";1574080512;49815552;4132012032
"2019-12-08T21:17:00-05:00";1573953536;48443392;4132012032
"2019-12-08T21:17:30-05:00";1578119168;51527680;4132012032
"2019-12-08T21:18:00-05:00";1591271424;43397120;4132012032
"2019-12-08T21:18:30-05:00";1593012224;42684416;4132012032
"2019-12-08T21:19:00-05:00";1595760640;44298240;4132012032
"2019-12-08T21:19:30-05:00";1639088128;86433792;4132012032
"2019-12-08T21:20:00-05:00";1586835456;55447552;4132012032
"2019-12-08T21:20:30-05:00";1576701952;42188800;4132012032
"2019-12-08T21:21:00-05:00";1582342144;45465600;4132012032
"2019-12-08T21:21:30-05:00";1626779648;88780800;4132012032
"2019-12-08T21:22:00-05:00";1633984512;91656192;4132012032
"2019-12-08T21:22:30-05:00";1575997440;44482560;4132012032
